id,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,iata_code,,,,,,,,,,,,,,,,,
4650,Utirik Airport,11.222219,169.851429,4,MH,MH-UTI,UTK,,,,,,,,,,,,,,,,,
6924,Ocean Reef Club Airport,25.325399,-80.274803,8,US,US-FL,OCA,,,,,,,,,,,,,,,,,
7139,Crested Butte Airpark,38.851918,-106.928341,8980,US,US-CO,CSE,,,,,,,,,,,,,,,,,
7426,Columbus Airport,31.823898,-107.629924,4024,US,US-NM,CUS,,,,,,,,,,,,,,,,,
7545,LBJ Ranch Airport,30.251801,-98.622498,1515,US,US-TX,JCY,,,,,,,,,,,,,,,,,
7866,Loring Seaplane Base,55.601299,-131.636993,,US,US-AK,WLR,,,,,,,,,,,,,,,,,
7977,Nunapitchuk Airport,60.905591,-162.440454,12,US,US-AK,NUP,,,,,,,,,,,,,,,,,
7994,Port Alice Seaplane Base,55.803,-133.597,,US,US-AK,PTC,,,,,,,,,,,,,,,,,
8126,Icy Bay Airport,59.966269,-141.660118,50,US,US-AK,ICY,,,,,,,,,,,,,,,,,
8159,Port Protection Seaplane Base,56.3288,-133.610001,,US,US-AK,PPV,,,,,,,,,,,,,,,,,
8383,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,US,US-AK,KKK,,,,,,,,,,,,,,,,,
8566,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258,US,US-CA,MHS,,,,,,,,,,,,,,,,,
8753,Chase Field Industrial Airport,28.362444,-97.661917,190,US,US-TX,NIR,,,,,,,,,,,,,,,,,
8774,Grand Canyon Bar Ten Airstrip,36.257984,-113.231063,4100,US,US-AZ,GCT,,,,,,,,,,,,,,,,,
8775,Ellamar Seaplane Base,60.893818,-146.704038,0,US,US-AK,ELW,,,,,,,,,,,,,,,,,
9287,Lime Village Airport,61.35910034,-155.4400024,552,US,US-AK,LVD,,,,,,,,,,,,,,,,,
9294,Hog River Airport,66.176133,-155.684816,534,US,US-AK,HGZ,,,,,,,,,,,,,,,,,
20770,Ed-Air Airport,38.851782,-87.49987,426,US,US-IN,OTN,,,,,,,,,,,,,,,,,
9485,Telida Airport,63.393902,-153.268997,650,US,US-AK,TLF,,,,,,,,,,,,,,,,,
9776,Eagle Air Park,28.98220062,-95.57969666,15,US,US-TX,BZT,,,,,,,,,,,,,,,,,
9902,Entrance Island Seaplane Base,57.412201,-133.43848,0,US,US-AK,HBH,,,,,,,,,,,,,,,,,
9906,False Island Seaplane Base,57.53219986,-135.2129974,,US,US-AK,FAK,,,,,,,,,,,,,,,,,
10309,Blakely Island Airport,48.579162,-122.823844,66,US,US-WA,BYW,,,,,,,,,,,,,,,,,
10366,Drift River Airport,60.58890152,-152.1620026,30,US,US-AK,DRF,,,,,,,,,,,,,,,,,
10532,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,808,US,US-IL,BDF,,,,,,,,,,,,,,,,,
10784,Tetlin Airport,63.124618,-142.518005,1663,US,US-AK,TEH,,,,,,,,,,,,,,,,,
10856,Roy Otten Memorial Airfield,38.42779922,-92.87519836,1030,US,US-MO,VRS,,,,,,,,,,,,,,,,,
10905,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,91,US,US-AK,GDH,,,,,,,,,,,,,,,,,
11318,Atmautluak Airport,60.866699,-162.272996,17,US,US-AK,ATT,,,,,,,,,,,,,,,,,
11320,Livengood Camp Airport,65.467,-148.6534,425,US,US-AK,LIV,,,,,,,,,,,,,,,,,
11485,Pedro Bay Airport,59.796925,-154.129994,45,US,US-AK,PDB,,,,,,,,,,,,,,,,,
11487,Ouzinkie Airport,57.942094,-152.464314,55,US,US-AK,KOZ,,,,,,,,,,,,,,,,,
11488,Tununak Airport,60.569638,-165.246649,14,US,US-AK,TNK,,,,,,,,,,,,,,,,,
11820,Hyder Seaplane Base,55.903324,-130.009975,,US,US-AK,WHD,,,,,,,,,,,,,,,,,
11900,Minto Al Wright Airport,65.147991,-149.368658,460,US,US-AK,MNT,,,,,,,,,,,,,,,,,
12114,Tokeen Seaplane Base,55.937099,-133.326996,,US,US-AK,TKI,,,,,,,,,,,,,,,,,
12243,Aleknagik / New Airport,59.2826004,-158.6179962,66,US,US-AK,WKK,,,,,,,,,,,,,,,,,
12429,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,US,US-AK,WFB,,,,,,,,,,,,,,,,,
12518,Rollang Field,32.953543,-90.845144,106,US,US-MS,RFK,,,,,,,,,,,,,,,,,
12560,Naknek Airport,58.735633,-157.02216,70,US,US-AK,NNK,,,,,,,,,,,,,,,,,
12764,Lake Brooks Seaplane Base,58.554798,-155.776993,36,US,US-AK,BKF,,,,,,,,,,,,,,,,,
12995,Southern Seaplane Airport,29.866078,-90.021608,,US,US-LA,BCS,,,,,,,,,,,,,,,,,
13202,Minute Man Air Field,42.460298,-71.519031,268,US,US-MA,MMN,,,,,,,,,,,,,,,,,
13208,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,5,US,US-CA,SPQ,,,,,,,,,,,,,,,,,
13405,East 34th Street Heliport,40.742372,-73.972074,10,US,US-NY,TSS,,,,,,,,,,,,,,,,,
13407,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,US,US-NY,NYS,,,,,,,,,,,,,,,,,
13974,Yes Bay Lodge Seaplane Base,55.916302,-131.800995,,US,US-AK,WYB,,,,,,,,,,,,,,,,,
13997,Center Island Airport,48.490046,-122.831612,115,US,US-WA,CWS,,,,,,,,,,,,,,,,,
14173,Tatitlek Airport,60.871449,-146.690297,62,US,US-AK,TEK,,,,,,,,,,,,,,,,,
14270,Pine Island Airport,36.252744,-75.785256,16,US,US-NC,DUF,,,,,,,,,,,,,,,,,
14453,Stuart Island Airpark,48.673379,-123.175439,10,US,US-WA,SSW,,,,,,,,,,,,,,,,,
14559,Fort Bragg Airport,39.472445,-123.795319,71,US,US-CA,FOB,,,,,,,,,,,,,,,,,
14620,Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,0,US,US-WA,PUL,,,,,,,,,,,,,,,,,
14633,Century City Heliport,34.061015,-118.417344,473,US,US-CA,CCD,,,,,,,,,,,,,,,,,
14642,Meyers Chuck Seaplane Base,55.739601,-132.255005,,US,US-AK,WMK,,,,,,,,,,,,,,,,,
19113,Maxson Airfield,44.312002,-75.90034,340,US,US-NY,AXB,,,,,,,,,,,,,,,,,
15267,Reese Airpark,33.59030151,-102.0370026,3338,US,US-TX,REE,,,,,,,,,,,,,,,,,
15300,Waldron Airstrip,48.71141,-123.018208,140,US,US-WA,WDN,,,,,,,,,,,,,,,,,
15514,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,,US,US-AK,WWP,,,,,,,,,,,,,,,,,
15640,Chuathbaluk Airport,61.579102,-159.216003,244,US,US-AK,CHU,,,,,,,,,,,,,,,,,
15641,Ugashik Airport,57.523476,-157.396344,25,US,US-AK,UGS,,,,,,,,,,,,,,,,,
15663,Recreation and Conference Center Heliport,34.020472,-117.927396,701,US,US-CA,JID,,,,,,,,,,,,,,,,,
15836,Philadelphia Seaplane Base,39.85900116,-75.29959869,0,US,US-PA,PSQ,,,,,,,,,,,,,,,,,
16069,Levelock Airport,59.12606,-156.860906,39,US,US-AK,KLL,,,,,,,,,,,,,,,,,
16074,Saginaw Seaplane Base,56.886299,-134.158005,,US,US-AK,SGW,,,,,,,,,,,,,,,,,
16082,Tuntutuliak Airport,60.351243,-162.654476,16,US,US-AK,WTL,,,,,,,,,,,,,,,,,
16083,Twin Hills Airport,59.074713,-160.274992,82,US,US-AK,TWA,,,,,,,,,,,,,,,,,
16089,Chignik Lake Airport,56.255001,-158.774994,50,US,US-AK,KCQ,,,,,,,,,,,,,,,,,
324756,Adado Airport,6.095802,46.6375,1001,SO,SO-GA,AAD,,,,,,,,,,,,,,,,,
301645,Atkamba Airport,-6.06462,141.095173,150,PG,PG-WPD,ABP,,,,,,,,,,,,,,,,,
41025,Arica Airport,-2.143713,-71.75935,316,CO,CO-AMA,ACM,,,,,,,,,,,,,,,,,
41841,Andorra la Vella Heliport,42.511227,1.53365,3450,AD,AD-08,ALV,,,,,,,,,,,,,,,,,
309426,El Daein Airport,11.4023,26.1186,1560,SD,SD-DE,ADV,,,,,,,,,,,,,,,,,
604702,Dubai Seaplane Terminal,25.263,55.272,0,AE,AE-DU,DST,,,,,,,,,,,,,,,,,
300307,Adareil Airport,10.053611,32.959444,1301,SS,SS-NU,AEE,,,,,,,,,,,,,,,,,
330359,Ar Horqin Airport,43.908407,120.15099,1335,CN,CN-15,AEQ,,,,,,,,,,,,,,,,,
309041,Kondavattavana Tank Seaplane Base,7.284,81.644,95,LK,LK-5,AFK,,,,,,,,,,,,,,,,,
336537,Burton-Nibbs International Airport,17.621194,-61.798347,28,AG,AG-10,BBQ,,,,,,,,,,,,,,,,,
301649,Afutara Aerodrome,-9.191389,160.948611,23,SB,SB-ML,AFT,,,,,,,,,,,,,,,,,
302290,Ulawa Airport,-9.860543583,161.9795465,40,SB,SB-MK,RNA,,,,,,,,,,,,,,,,,
35172,Uru Harbour Airport,-8.87333,161.011002,,SB,SB-ML,ATD,,,,,,,,,,,,,,,,,
32570,Barakoma Airport,-7.912779808,156.7059937,,SB,SB-WE,VEV,,,,,,,,,,,,,,,,,
302402,Batuna Aerodrome,-8.562027778,158.1193056,24,SB,SB-WE,BPF,,,,,,,,,,,,,,,,,
31524,Geva Airport,-7.575829983,156.5970001,,SB,SB-WE,GEF,,,,,,,,,,,,,,,,,
301650,Angoram Airport,-4.057077,144.073841,75,PG,PG-ESW,AGG,,,,,,,,,,,,,,,,,
30634,Gwaunaru'u Airport,-8.70257,160.682007,5,SB,SB-ML,AKS,,,,,,,,,,,,,,,,,
302047,Bellona/Anua Airport,-11.30222222,159.7983333,60,SB,SB-RB,BNY,,,,,,,,,,,,,,,,,
302291,Choiseul Bay Airport,-6.711944,156.396111,,SB,SB-CH,CHY,,,,,,,,,,,,,,,,,
30678,Ballalae Airport,-6.990745,155.886656,5,SB,SB-WE,BAS,,,,,,,,,,,,,,,,,
35167,Fera/Maringe Airport,-8.1075,159.576996,9,SB,SB-IS,FRE,,,,,,,,,,,,,,,,,
3,Honiara International Airport,-9.428,160.054993,28,SB,SB-GU,HIR,,,,,,,,,,,,,,,,,
31885,Babanakira Airport,-9.7475,159.839005,,SB,SB-GU,MBU,,,,,,,,,,,,,,,,,
301837,Avu Avu Airport,-9.868333,160.410556,25,SB,SB-GU,AVU,,,,,,,,,,,,,,,,,
31686,Ngorangora Airport,-10.44970036,161.897995,54,SB,SB-MK,IRA,,,,,,,,,,,,,,,,,
32275,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,SB,SB-TE,SCZ,,,,,,,,,,,,,,,,,
4,Munda Airport,-8.32797,157.263,10,SB,SB-WE,MUA,,,,,,,,,,,,,,,,,
